Organization Name,Website,Contact Information,Specialization
Habitat for Humanity Poland,https://www.habitat.pl/,"48 (22) 828-1061, biuro@habitat.pl",Housing and community development
Heifer Romania,https://heifer.ro/,"40 (722) 170096, info@heifer.ro",Agricultural development and poverty alleviation
Latvian Humanitarian Aid Association,https://www.facebook.com/LatvianHAA/,Not available,Humanitarian assistance and disaster relief
United Nations Talent Pool for Emergency Response in Eastern Europe,https://www.un.org/,Not available,"Emergency response, disaster relief, and humanitarian aid"
Refugee Relief Volunteer Programs in Poland,https://www.gov.pl/web/udsc,Not available,Refugee support and assistance
Global Outreach Foundation,http://www.globaloutreachfoundation.org/,info@globaloutreachfoundation.org,Development and humanitarian aid
International Romani Union,https://www.iro-romaniunion.org/,Not available,"Human rights, education, and poverty alleviation"
Rural Development Foundation,http://www.fdshr.org/,"1 (267) 577-6502, general@fdshr.org",Rural development and poverty alleviation
FOCSIV,https://www.focsiv.it/,info@focsiv.it,International cooperation and volunteering
Network of European Foundations,https://www.nef-europe.org/,"32 (277) 1919, info@nef-europe.org",Philanthropy and funding for humanitarian aid
Habitat for Humanity Poland,https://www.habitat.pl/,"+48 22 842 05 56, kontakt@habitat.pl",Housing and community development
Heifer Romania,https://www.heifer.org/,"+40 268 258 200, info@heifer.ro","Sustainable agriculture, food security, and community development"
Latvian Humanitarian Aid Association,http://www.human.lv/,"+371 2912 2731, info@human.lv",Humanitarian aid and assistance
United Nations Talent Pool for Emergency Response in Eastern Europe,https://www.unv.org/,"+49 (0) 228 815 2000, information@unv-org",Emergency response and humanitarian aid
Refugee Relief Volunteer Programs in Poland,https://www.govolunteer.com/,info@govolunteer.com,Refugee support and relief
Global Outreach Foundation,https://global-outreach-foundation.org/,"+1 604-533-2232, info@global-outreach-foundation.org","Healthcare, education, and development assistance"
International Romani Union,https://internationalromaniunion.org/,office@internationalromaniunion.org,Advocacy and support for Roma community
Rural Development Foundation,http://www.rdf.org.pl/en/,"+48 22 505-9600, fundacja@rdf.org.pl",Rural development and education support
FOCSIV,https://www.focsiv.it/,"+39 06 6877 981, segreteria@focsiv.it",International cooperation and humanitarian assistance
Network of European Foundations,https://www.nef-europe.org/,info@nef-europe.org,Collaborative philanthropy for social innovation and development
